Ден,Час,Песен
Понеделник,08:45,End.mp3
Понеделник,09:00,Start.mp3
Понеделник,09:45,End.mp3
Понеделник,10:00,Start.mp3
Понеделник,10:45,End.mp
Понеделник,11:00,Start.mp3
Понеделник,11:45,End.mp3
Понеделник,12:00,Start.mp3
Понеделник,12:45,End.mp3
Понеделник,13:00,Start.mp3
Понеделник,13:45,End.mp3
Вторник,08:45,End.mp3
Вторник,09:00,Start.mp3
Вторник,09:45,End.mp3
Вторник,10:00,Start.mp3
Вторник,10:45,End.mp
Вторник,11:00,Start.mp3
Вторник,11:45,End.mp3
Вторник,12:00,Start.mp3
Вторник,12:45,End.mp3
Вторник,13:00,Start.mp3
Вторник,13:45,End.mp3
Сряда,08:45,End.mp3
Сряда,09:00,Start.mp3
Сряда,09:45,End.mp3
Сряда,10:00,Start.mp3
Сряда,10:45,End.mp
Сряда,11:00,Start.mp3
Сряда,11:45,End.mp3
Сряда,12:00,Start.mp3
Сряда,12:45,End.mp3
Сряда,13:00,Start.mp3
Сряда,13:45,End.mp3
Четвъртък,08:45,End.mp3
Четвъртък,09:00,Start.mp3
Четвъртък,09:45,End.mp3
Четвъртък,10:00,Start.mp3
Четвъртък,10:45,End.mp
Четвъртък,11:00,Start.mp3
Четвъртък,11:45,End.mp3
Четвъртък,12:00,Start.mp3
Четвъртък,12:45,End.mp3
Четвъртък,13:00,Start.mp3
Четвъртък,13:45,End.mp3
Петък,08:45,End.mp3
Петък,09:00,Start.mp3
Петък,09:45,End.mp3
Петък,10:00,Start.mp3
Петък,10:45,End.mp
Петък,11:00,Start.mp3
Петък,11:45,End.mp3
Петък,12:00,Start.mp3
Петък,12:45,End.mp3
Петък,13:00,Start.mp3
Петък,13:45,End.mp3
Събота,08:45,End.mp3
Събота,09:00,Start.mp3
Събота,09:45,End.mp3
Събота,10:00,Start.mp3
Събота,10:45,End.mp
Събота,11:00,Start.mp3
Събота,11:45,End.mp3
Събота,12:00,Start.mp3
Събота,12:45,End.mp3
Събота,13:00,Start.mp3
Събота,13:45,End.mp3
Неделя,08:45,End.mp3
Неделя,09:00,Start.mp3
Неделя,09:45,End.mp3
Неделя,10:00,Start.mp3
Неделя,10:45,End.mp
Неделя,11:00,Start.mp3
Неделя,11:45,End.mp3
Неделя,12:00,Start.mp3
Неделя,12:45,End.mp3
Неделя,13:00,Start.mp3
Неделя,13:45,End.mp3
